T_lif_min,T_lif_max,min_cop,mean_cop,max_cop,mean_hvac_kw
-inf,-20.0,0.4432989804099652,1.2942894507549063,3.213557909538862,0.8430769230769233
-46.864824038769896,-20.0,0.4432989804099652,1.2942894507549063,3.213557909538862,0.8430769230769233
-25.429567692491744,-20.0,0.4432989804099652,1.2942894507549063,3.213557909538862,0.8430769230769233
-20.968204696815185,-20.0,0.7489660605755989,2.039679843517046,3.213557909538862,0.6559999999999999
-20.666768139400254,-12.87818559562734,0.3861196699334503,2.187961859205279,6.169826095303751,0.8963291139240507
-12.87818559562734,-8.56827410479769,0.5000463346601844,1.8035203360576522,5.666055688763096,0.8985714285714286
-8.56827410479769,-6.476960542316494,0.3053059527330572,2.4990854651480467,5.9051153487874615,0.5068181818181818
-6.476960542316494,-1.0520981106217775,0.1592019409121415,2.991480916100928,6.06582482220795,0.3604419889502763
-1.0520981106217775,7.246332556718194,0.1632808452515937,2.9376364202044303,6.273228151429427,0.511407624633431
7.246332556718194,16.139542038606557,0.5052418469239113,2.6794098939030913,6.288413390416278,0.7911
