season,cop_range,hours,percentage,range_min
spring,0-2,3433,38.88322573337864,0
fall,0-2,4972,56.91391941391941,0
winter,0-2,5695,65.73176361957526,0
summer,0-2,3256,36.86594202898551,0
Overall,0-2,17356,49.502295998402786,0
winter,2-4,492,5.678670360110803,2
fall,2-4,2088,23.9010989010989,2
summer,2-4,4256,48.188405797101446,2
spring,2-4,2508,28.406388039415564,2
Overall,2-4,9344,26.650694503864692,2
Overall,4-6,3112,8.8759590428111,4
summer,4-6,784,8.876811594202898,4
winter,4-6,348,4.016620498614958,4
spring,4-6,1176,13.319741760108734,4
fall,4-6,804,9.203296703296704,4
winter,6-8,564,6.509695290858726,6
Overall,6-8,1988,5.670117794700665,6
fall,6-8,348,3.983516483516483,6
spring,6-8,856,9.695322233548533,6
summer,6-8,220,2.4909420289855073,6
fall,8-10,236,2.7014652014652016,8
Overall,8-10,1028,2.9320327429337443,8
spring,8-10,228,2.582398912674142,8
summer,8-10,76,0.8605072463768116,8
winter,8-10,488,5.632502308402586,8
spring,10-12,176,1.9934307396081097,10
winter,10-12,200,2.308402585410896,10
summer,10-12,56,0.6340579710144928,10
fall,10-12,124,1.4194139194139195,10
Overall,10-12,556,1.5858075924816746,10
winter,≥12,876,10.110803324099724,12
spring,≥12,452,5.1194925812662815,12
summer,≥12,184,2.083333333333333,12
fall,≥12,164,1.8772893772893773,12
Overall,≥12,1676,4.780240152876416,12
