City,Time_Block,Temperature,Radiation
Haikou,00:00-04:00,23.618466505479454,0.0
Haikou,04:00-08:00,23.72230213767123,29.766438356164382
Haikou,08:00-12:00,27.234493944520548,467.24657534246575
Haikou,12:00-16:00,27.96216515616438,566.6780821917808
Haikou,16:00-20:00,25.953500767123288,115.41849315068494
Haikou,20:00-00:00,24.280418583561644,0.0
Shanghai,00:00-04:00,15.325130260958902,0.0
Shanghai,04:00-08:00,15.11978784109589,17.653424657534245
Shanghai,08:00-12:00,18.865952229452056,353.1054794520548
Shanghai,12:00-16:00,21.17917139178082,495.32260273972605
Shanghai,16:00-20:00,18.88376044589041,122.22534246575343
Shanghai,20:00-00:00,16.279513825342466,0.0
Beijing,00:00-04:00,10.437383565753425,0.0
Beijing,04:00-08:00,10.006219166438356,43.25410958904109
Beijing,08:00-12:00,15.139095941095892,402.777397260274
Beijing,12:00-16:00,18.564507055479453,439.08082191780824
Beijing,16:00-20:00,15.809849425342467,68.96643835616439
Beijing,20:00-00:00,12.472760270547946,0.0
Lasa,00:00-04:00,6.210863183561643,0.0
Lasa,04:00-08:00,5.047849484931507,24.84178082191781
Lasa,08:00-12:00,10.190383595890411,520.8726027397261
Lasa,12:00-16:00,14.624287549315069,738.0698630136986
Lasa,16:00-20:00,12.460657398630136,187.01438356164383
Lasa,20:00-00:00,8.210349417808219,0.0
Urumqi,00:00-04:00,5.412425000684931,0.0
Urumqi,04:00-08:00,6.0910894294520554,58.43904109589041
Urumqi,08:00-12:00,10.76759630479452,452.3102739726027
Urumqi,12:00-16:00,12.13379483972603,466.44109589041096
Urumqi,16:00-20:00,9.603623676027397,76.22465753424657
Urumqi,20:00-00:00,6.821740110273973,0.0
Harbin,00:00-04:00,2.920561615068493,0.0
Harbin,04:00-08:00,2.4488150356164384,36.16027397260274
Harbin,08:00-12:00,6.780013607534246,369.3109589041096
Harbin,12:00-16:00,9.970013641780822,451.89246575342463
Harbin,16:00-20:00,7.512856090410959,94.3486301369863
Harbin,20:00-00:00,4.414465715068493,0.07191780821917808
