City,Time_Period,Average_Radiation
Shanghai,0-4,0.0
Shanghai,4-8,64.27775431712328
Shanghai,8-12,776.3454100938357
Shanghai,12-16,1026.0591176417809
Shanghai,16-20,316.0871408541096
Shanghai,20-24,0.0
Harbin,0-4,0.0
Harbin,4-8,102.91079794041096
Harbin,8-12,683.888880899315
Harbin,12-16,811.4995549287671
Harbin,16-20,233.98162325273972
Harbin,20-24,0.7444775753424657
Lasa,0-4,0.0
Lasa,4-8,61.082809452739724
Lasa,8-12,783.3456945917808
Lasa,12-16,1045.6720217835616
Lasa,16-20,325.15464933767123
Lasa,20-24,0.0
Urumqi,0-4,0.0
Urumqi,4-8,141.62757049863015
Urumqi,8-12,761.9049153630137
Urumqi,12-16,800.3621874979451
Urumqi,16-20,182.90732784383562
Urumqi,20-24,0.0
Haikou,0-4,0.0
Haikou,4-8,84.80041964178082
Haikou,8-12,905.7741487945206
Haikou,12-16,1103.0023484808219
Haikou,16-20,282.44132269726026
Haikou,20-24,0.0
