City,Target_LCOE,Actual_LCOE,PV_Area,Battery_Capacity,Payback_Period,TLPS,City_Order
Shanghai,0.04,0.0444130675281282,50.0,15.0,3.539983835347985,30.14840182648402,0
Shanghai,0.06,0.060512232128669,10.0,0.0,0.4269052781937733,83.2420091324201,0
Harbin,0.04,0.0445587231641412,50.0,10.0,2.9681080298026883,40.63926940639269,1
Harbin,0.06,0.0622764499533488,10.0,0.0,0.4575598302644439,84.60045662100457,1
Lasa,0.04,0.0440509369034267,30.0,0.0,0.8711997296030021,60.01141552511415,2
Lasa,0.06,0.0601083440972332,10.0,0.0,0.3436002128895897,71.5068493150685,2
Urumqi,0.04,0.0441711453957148,50.0,5.0,2.2177116232891456,49.49771689497717,3
Urumqi,0.06,0.0589861697132584,10.0,0.0,0.417202465415291,82.32876712328768,3
Haikou,0.04,0.0442080424568467,30.0,5.0,1.7020591615190332,53.618721461187214,4
Haikou,0.06,0.0634644488604401,10.0,0.0,0.3514606741829305,78.162100456621,4
