City,Target_LCOE,Actual_LCOE,Payback_Period,PV_Area,Battery_Capacity
Shanghai,0.05,0.0512779838875966,0.8169228763031269,25.0,0.0
Shanghai,0.08,0.0702672880399609,1.0805612485123568,25.0,0.0
Harbin,0.05,0.0519343735743693,0.8438519833594526,25.0,0.0
Harbin,0.08,0.0700795072723456,1.378092078831306,25.0,0.0
Haikou,0.05,0.0571971994275295,0.7127483563698822,25.0,0.0
Haikou,0.08,0.0700234821988853,1.2800194074363906,25.0,0.0
Lasa,0.05,0.0558633885969546,0.740681562948992,25.0,0.0
Lasa,0.08,0.0712881557362903,1.4617643195794452,25.0,0.0
Urumqi,0.05,0.0588850139771756,0.7996633454154443,25.0,0.0
Urumqi,0.08,0.0700127489412955,1.3622216974041204,25.0,0.0
